FIN;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
145001;Head of State;Pehr E. Svinhufvud;1933;1964;SC;Pig-headed Isolationist;High;2501;X
145002;Head of Government;Toivo M. Kivimäki;1933;1964;SC;Silent Workhorse;High;2502;X
145003;Foreign Minister;Antti V. Hackzell;1933;1964;SC;Biased Intellectual;Medium;2503;X
145004;Minister of Armament;Arvi A. Oksala;1933;1964;SC;Resource Industrialist;Medium;2504;X
145005;Minister of Security;Yrjö W. Puhakka;1933;1964;SC;Silent Lawyer;Medium;2505;X
145006;Head of Military Intelligence;Esko Riekki;1933;1964;SC;Dismal Enigma;High;2506;X
145007;Chief of Staff;K. Lennart Oesch;1933;1964;SC;School of Manoeuvre;High;412;X
145008;Chief of Army;Hugo V. Österman;1933;1964;SC;Elastic Defence Doctrine;Medium;436;X
145009;Chief of Navy;Väinö L. R. Valve;1933;1964;SC;Open Seas Doctrine;High;428;X
145010;Chief of Air Force;Jarl F. Lundqvist;1933;1964;SC;Naval Aviation Doctrine;Very High;2507;X
145011;Head of State;C. Gustaf E. Mannerheim;1944;1964;SC;Resigned Generalissimo;High;2508;X
145012;Head of State;Juho K. Paasikivi;1945;1964;SD;Autocratic Charmer;High;2509;X
145013;Head of State;Pehr E. Svinhufvud;1933;1964;ML;Pig-headed Isolationist;High;2501;X
145014;Head of State;Risto H. Ryti;1940;1964;ML;Weary Stiffneck;High;2510;X
145015;Head of State;Kyösti Kallio;1937;1964;SC;Stern Imperialist;High;2511;X
145016;Head of State;Risto H. Ryti;1939;1964;SC;Weary Stiffneck;High;2510;X
145017;Head of State;Risto H. Ryti;1943;1964;PA;Weary Stiffneck;High;2510;X
145018;Head of State;Juho K. Paasikivi;1946;1964;SC;Autocratic Charmer;High;2509;X
145019;Head of State;I. Vihtori I. Kosola;1933;1964;FA;Popular Figurehead;High;2512;X
145020;Head of State;Otto Ville Kuusinen;1933;1964;ST;Ruthless Powermonger;High;2513;X
145021;Head of Government;Väinö Kivisalo;1933;1964;SD;Naive Optimist;High;2514;X
145022;Head of Government;Urho K. Kekkonen;1943;1964;ML;Backroom Backstabber;High;2515;X
145023;Head of Government;Mauno Pekkala;1945;1964;SD;Political Protege;High;2516;X
145024;Head of Government;Kyösti Kallio;1933;1964;ML;Corporate Suit;High;2511;X
145025;Head of Government;Aimo K. Cajander;1937;1964;ML;Happy Amateur;High;2517;X
145026;Head of Government;Jarl F. Lundqvist;1943;1964;ML;Smiling Oilman;High;2507;X
145027;Head of Government;Yrjö K. Leino;1946;1964;ML;Naive Optimist;High;M29025;X
145028;Head of Government;Risto H. Ryti;1939;1964;SC;Backroom Backstabber;High;2510;X
145029;Head of Government;Johan W. Rangell;1941;1964;SC;Flamboyant Tough Guy;High;M29059;X
145030;Head of Government;Antti V. Hackzell;1944;1964;SC;Silent Workhorse;High;2503;X
145031;Head of Government;Juho K. Paasikivi;1944;1964;SC;Flamboyant Tough Guy;High;2509;X
145032;Head of Government;Kyösti N. Järvinen;1946;1964;SC;Silent Workhorse;High;2518;X
145033;Head of Government;Edwin J. H. Linkomies;1943;1964;SC;Naive Optimist;High;M29063;X
