EUS;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
645001;Head of State;José Antonio Aguirre;1936;1960;SC;Benevolent Gentleman;Very High;8505;X
645002;Head of Government;José Antonio Aguirre;1936;1960;SC;Flamboyant Tough Guy;Very High;8505;X
645003;Foreign Minister;José María Lasarte;1936;1964;SC;Ideological Crusader;High;8186;X
645004;Minister of Armament;Heliodoro de la Torre;1936;1964;SC;laissez-faire capitalist;High;8185;X
645005;Minister of Security;Jesús María de Leizaola;1936;1964;SC;Silent Lawyer;High;8506;X
645006;Head of Military Intelligence;Juan Ajuriaguerra;1934;1964;SC;Logistics Specialist;High;8187;X
645007;Chief of Staff;Alberto de Montaud y Noguerol;1936;1937;SC;School of Defence;Very High;8480;X
645008;Chief of Army;Cándido Saseta Etxebarría;1936;1964;SD;Static Defence Doctrine;High;8504;X
645009;Chief of Navy;Joaquín de Egia;1936;1956;SC;Base Control Doctrine;High;8494;X
645010;Chief of Air Force;Boris Maranchov;1936;1938;NA;Naval Aviation Doctrine;High;8507;X
645011;Head of State;Jesús María de Leizaola;1936;1964;SC;Popular Figurehead;High;8506;X
645012;Head of Government;Jesús María de Leizaola;1936;1964;SC;Naive Optimist;High;8506;X
645013;Foreign Minister;Francisco Javier de Landaburu;1936;1964;SC;Great Compromiser;High;6592;X
645014;Minister of Armament;Fermín Zarza;1936;1963;SD;Resource Industrialist;High;unknown;X
645015;Minister of Security;Manuel de Irujo;1936;1964;SC;Efficient Sociopath;Very High;8508;X
645016;Head of Military Intelligence;Manuel de Irujo;1936;1964;SC;Dismal Enigma;High;8508;X
645017;Chief of Staff;Jesús María de Leizaola;1936;1964;SC;School of Psychology;High;8506;X
645018;Chief of Army;Antonio Ortega;1936;1964;SC;Elastic Defence Doctrine;High;unknown;X
645019;Chief of Navy;José María Burgaña;1936;1964;SC;Open Seas Doctrine;High;8509;X
645020;Chief of Air Force;Juan Antonio Ibarreche;1936;1964;ML;Carpet Bombing Doctrine;High;unknown;X
645021;Head of State;Anacleto Ortueta;1936;1964;LWR;Die-Hard Reformer;High;6570;X
645022;Head of State;Justo Gárate;1936;1964;LWR;Barking Buffoon;Very High;8510;X
645023;Head of Government;Anacleto Ortueta;1936;1964;LWR;Backroom Backstabber;High;6570;X
645024;Head of Government;Telesforo Monzón;1936;1964;LE;Flamboyant Tough Guy;High;8511;X
645025;Foreign Minister;Telesforo Monzón;1936;1964;LE;Iron Fisted Brute;High;8511;X
645026;Foreign Minister;Tomás Bilbao;1936;1964;LWR;Apologetic Clerk;High;unknown;X
645027;Minister of Armament;Santiago Aznar;1936;1964;LWR;Corrupt Kleptocrat;High;8512;X
645028;Minister of Armament;Gonzalo Nardiz;1936;1964;LWR;laissez-faire capitalist;High;8184;X
645029;Minister of Security;Justo Gárate;1936;1964;LWR;Efficient Sociopath;Very High;8510;X
645030;Minister of Security;Anacleto Ortueta;1936;1964;LWR;Man of the People;High;6570;X
645031;Head of Military Intelligence;Jesús Larrañaga;1936;1964;LWR;Industrial Specialist;High;unknown;X
645032;Head of Military Intelligence;Francisco Ciutat de Miguel;1936;1964;LWR;Logistics Specialist;Medium;8513;X
645033;Chief of Staff;Anacleto Ortueta;1936;1964;LWR;School of Fire Support;High;6570;X
645034;Chief of Staff;Justo Gárate;1936;1964;LWR;School of Psychology;Very High;8510;X
645035;Chief of Army;Felix Likiniano;1936;1964;LE;Decisive Battle Doctrine;High;8514;X
645036;Chief of Army;Kepa Ordoki;1936;1964;LE;Guns and Butter Doctrine;High;8515;X
645037;Chief of Navy;Rafael Menchaca;1936;1964;ST;Indirect Approach Doctrine;High;8516;X
645038;Chief of Navy;Manuel Galdós;1936;1964;LWR;Open Seas Doctrine;High;8517;X
645039;Chief of Air Force;Ignacio Hidalgo de Cisneros;1936;1964;LWR;Carpet Bombing Doctrine;Medium;M11030;X
645040;Chief of Air Force;Pablo Rada;1936;1964;LWR;Naval Aviation Doctrine;High;8518;X
645041;Head of State;Alfonso Carlos I;1931;1937;PA;Benevolent Gentleman;High;8519;X
645042;Head of State;Carlos XII Antonio de Habsburgo;1936;1964;PA;Insignificant Layman;Medium;unknown;X
645043;Head of Government;Pedro Mourlane Michelena;1936;1964;FA;Flamboyant Tough Guy;Very High;8188;X
645044;Head of Government;José Felix Lequerica;1936;1964;PA;Silent Workhorse;High;unknown;X
645045;Foreign Minister;José María de Areilza;1936;1964;PA;Great Compromiser;Very High;unknown;X
645046;Foreign Minister;José Felix Lequerica;1936;1964;PA;Biased Intellectual;High;unknown;X
645047;Minister of Armament;José Luis Arrese;1936;1964;FA;Resource Industrialist;Medium;unknown;X
645048;Minister of Armament;Alejandro Goicoechea;1936;1964;PA;Administrative Genius;High;unknown;X
645049;Minister of Security;Rafael Sánchez Mazas;1936;1964;FA;Compassionate Gentleman;High;unknown;X
645050;Minister of Security;Pedro Mourlane Michelena;1936;1964;FA;Man of the People;Very High;8188;X
645051;Head of Military Intelligence;Manuel Aznar Zubigaray;1919;1936;PA;Political Specialist;Medium;8520;X
645052;Head of Military Intelligence;Alejandro Goicoechea;1936;1964;PA;Logistics Specialist;High;unknown;X
645053;Chief of Staff;Carlos XI de Habsburgo;1936;1964;PA;School of Mass Combat;High;unknown;X
